id,timestamp,vehicle_id,decision,traffic_density,network_quality,battery,speed,task_type,explanation
1,2026-06-23 18:28:03,vehicle_15,EDGE,LOW,MODERATE,33.7,21.28,obstacle_detection,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
2,2026-06-24 14:11:13,vehicle_9,EDGE,MEDIUM,MODERATE,83.56,18.59,obstacle_detection,Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
3,2026-06-24 14:11:14,vehicle_22,CLOUD,MEDIUM,MODERATE,77.95,18.86,obstacle_detection,Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
4,2026-06-24 14:11:14,vehicle_2,CLOUD,HIGH,MODERATE,60.1,19.84,obstacle_detection,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
5,2026-06-24 14:11:14,vehicle_12,VEHICLE,LOW,MODERATE,22.17,10.39,obstacle_detection,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally."
6,2026-06-24 14:11:15,vehicle_25,VEHICLE,MEDIUM,MODERATE,94.61,7.49,obstacle_detection,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
7,2026-06-24 14:11:15,vehicle_27,VEHICLE,MEDIUM,MODERATE,67.55,8.3,obstacle_detection,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
8,2026-06-24 14:11:15,vehicle_20,VEHICLE,LOW,MODERATE,49.61,21.21,obstacle_detection,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
9,2026-06-24 14:11:16,vehicle_26,CLOUD,MEDIUM,MODERATE,34.85,19.08,obstacle_detection,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation."
10,2026-06-24 14:11:16,vehicle_23,VEHICLE,LOW,MODERATE,60.34,12.03,obstacle_detection,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
11,2026-06-24 14:11:17,vehicle_23,EDGE,MEDIUM,MODERATE,24.29,21.38,obstacle_detection,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
12,2026-06-24 14:11:17,vehicle_27,CLOUD,MEDIUM,MODERATE,42.53,16.29,obstacle_detection,Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
13,2026-06-24 14:11:17,vehicle_14,VEHICLE,MEDIUM,MODERATE,91.5,9.69,obstacle_detection,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
14,2026-06-24 14:11:18,vehicle_6,CLOUD,HIGH,MODERATE,27.09,19.94,obstacle_detection,"High traffic density increases local congestion risk. | Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation."
15,2026-06-24 14:11:18,vehicle_22,EDGE,LOW,MODERATE,23.34,12.25,obstacle_detection,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload."
16,2026-06-24 14:11:18,vehicle_26,VEHICLE,HIGH,MODERATE,48.64,11.36,obstacle_detection,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
17,2026-06-24 14:11:18,vehicle_18,VEHICLE,LOW,MODERATE,94.9,20.29,obstacle_detection,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
18,2026-06-24 14:11:19,vehicle_2,VEHICLE,MEDIUM,MODERATE,83.63,6.28,obstacle_detection,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
19,2026-06-24 14:11:19,vehicle_6,CLOUD,HIGH,MODERATE,88.24,14.36,obstacle_detection,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
20,2026-06-24 14:11:19,vehicle_8,EDGE,MEDIUM,MODERATE,65.02,17.04,obstacle_detection,Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
21,2026-06-24 14:11:20,vehicle_8,EDGE,HIGH,MODERATE,75.29,12.7,obstacle_detection,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
22,2026-06-24 14:11:20,vehicle_23,VEHICLE,MEDIUM,MODERATE,72.16,6.05,obstacle_detection,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
23,2026-06-24 14:11:20,vehicle_14,CLOUD,MEDIUM,MODERATE,51.0,16.64,obstacle_detection,Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation.
24,2026-06-24 14:11:21,vehicle_26,EDGE,HIGH,MODERATE,43.27,5.26,obstacle_detection,High traffic density increases local congestion risk. | Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
25,2026-06-24 14:11:21,vehicle_8,VEHICLE,LOW,MODERATE,54.85,12.72,obstacle_detection,Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
26,2026-06-24 14:11:21,vehicle_18,VEHICLE,HIGH,MODERATE,95.56,18.65,obstacle_detection,High traffic density increases local congestion risk. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
27,2026-06-24 14:11:22,vehicle_12,VEHICLE,MEDIUM,MODERATE,46.13,7.44,obstacle_detection,Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally.
28,2026-06-24 14:11:22,vehicle_22,CLOUD,HIGH,MODERATE,34.91,20.49,obstacle_detection,"High traffic density increases local congestion risk. | Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | CLOUD was selected because remote processing can handle heavier computation."
29,2026-06-24 14:11:22,vehicle_23,EDGE,HIGH,MODERATE,77.8,7.06,obstacle_detection,High traffic density increases local congestion risk. | Low vehicle speed indicates possible congestion. | Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
30,2026-06-24 14:11:23,vehicle_19,VEHICLE,LOW,MODERATE,26.78,12.53,obstacle_detection,"Vehicle battery is low, so local execution may be risky. | Safety-critical task requires low-latency processing. | VEHICLE was selected to avoid network dependency and process locally."
31,2026-06-24 14:11:23,vehicle_21,EDGE,MEDIUM,MODERATE,84.43,20.05,obstacle_detection,Safety-critical task requires low-latency processing. | EDGE was selected to reduce latency while avoiding vehicle overload.
